"iso_a3","hemi"
"ASM","tropics"
"UMI","tropics"
"COK","tropics"
"PYF","tropics"
"NIU","tropics"
"PCN","southern"
"WSM","tropics"
"TKL","tropics"
"TON","tropics"
"WLF","tropics"
"SLV","tropics"
"GTM","tropics"
"MEX","northern"
"CAN","northern"
"ARG","southern"
"FLK","southern"
"CHL","southern"
"ECU","tropics"
"PER","tropics"
"BOL","tropics"
"BRA","tropics"
"PRY","tropics"
"URY","southern"
"SGS","southern"
"ATA","southern"
"FJI","tropics"
"SHN","tropics"
"AIA","tropics"
"ATG","tropics"
"ABW","tropics"
"BHS","northern"
"BRB","tropics"
"BLZ","tropics"
"BMU","northern"
"BES","tropics"
"VGB","tropics"
"CYM","tropics"
"COL","tropics"
"CRI","tropics"
"CUB","tropics"
"CUW","tropics"
"DMA","tropics"
"DOM","tropics"
"GUF","tropics"
"GRD","tropics"
"GLP","tropics"
"GUY","tropics"
"HTI","tropics"
"HND","tropics"
"JAM","tropics"
"MTQ","tropics"
"MSR","tropics"
"NIC","tropics"
"PAN","tropics"
"PRI","tropics"
"BES","tropics"
"BLM","tropics"
"BES","tropics"
"KNA","tropics"
"LCA","tropics"
"MAF","tropics"
"SPM","northern"
"VCT","tropics"
"SXM","tropics"
"SUR","tropics"
"TTO","tropics"
"TCA","tropics"
"VIR","tropics"
"VEN","tropics"
"BFA","tropics"
"CPV","tropics"
"CIV","tropics"
"GMB","tropics"
"GHA","tropics"
"GIB","northern"
"GIN","tropics"
"GNB","tropics"
"LBR","tropics"
"MLI","tropics"
"MRT","tropics"
"MAR","northern"
"PRT","northern"
"SEN","tropics"
"SLE","tropics"
"GRL","northern"
"GGY","northern"
"IRL","northern"
"IMN","northern"
"JEY","northern"
"GBR","northern"
"ISL","northern"
"FRO","northern"
"SJM","northern"
"BVT","southern"
"NZL","southern"
"AGO","tropics"
"BWA","tropics"
"BDI","tropics"
"COM","tropics"
"COG","tropics"
"COD","tropics"
"GAB","tropics"
"KEN","tropics"
"LSO","southern"
"MWI","tropics"
"ATF","tropics"
"MOZ","tropics"
"NAM","tropics"
"RWA","tropics"
"STP","tropics"
"ZAF","southern"
"SWZ","southern"
"TZA","tropics"
"ZMB","tropics"
"ZWE","tropics"
"IOT","tropics"
"ATF","southern"
"HMD","southern"
"MDG","tropics"
"MUS","tropics"
"MYT","tropics"
"ATF","tropics"
"REU","tropics"
"SYC","tropics"
"DZA","northern"
"BEN","tropics"
"CMR","tropics"
"CAF","tropics"
"TCD","tropics"
"GNQ","tropics"
"KIR","tropics"
"LBY","northern"
"MLT","northern"
"NER","tropics"
"NGA","tropics"
"TGO","tropics"
"TUN","northern"
"CYP","northern"
"DJI","tropics"
"EGY","northern"
"ERI","tropics"
"ETH","tropics"
"GRC","northern"
"IRQ","northern"
"ISR","northern"
"JOR","northern"
"LBN","northern"
"PSE","northern"
"SSD","tropics"
"SDN","tropics"
"SYR","northern"
"TUR","northern"
"UGA","tropics"
"AND","northern"
"USA","northern"
"FRA","northern"
"LIE","northern"
"MCO","northern"
"CHE","northern"
"BEL","northern"
"DEU","northern"
"LUX","northern"
"NLD","northern"
"ALB","northern"
"AUT","northern"
"BIH","northern"
"HRV","northern"
"CZE","northern"
"DNK","northern"
"HUN","northern"
"ITA","northern"
"MNE","northern"
"POL","northern"
"SMR","northern"
"SRB","northern"
"SVK","northern"
"SVN","northern"
"MKD","northern"
"VAT","northern"
"NOR","northern"
"SWE","northern"
"BLR","northern"
"BGR","northern"
"EST","northern"
"FIN","northern"
"GEO","northern"
"LVA","northern"
"LTU","northern"
"MDA","northern"
"ROU","northern"
"UKR","northern"
"AFG","northern"
"BHR","northern"
"IND","tropics"
"IRN","northern"
"KWT","northern"
"MDV","tropics"
"NPL","northern"
"OMN","tropics"
"PAK","northern"
"QAT","northern"
"SAU","northern"
"SOM","tropics"
"LKA","tropics"
"TJK","northern"
"TKM","northern"
"ARE","northern"
"YEM","tropics"
"ARM","northern"
"AZE","northern"
"KAZ","northern"
"KGZ","northern"
"UZB","northern"
"CXR","tropics"
"CCK","tropics"
"IDN","tropics"
"TLS","tropics"
"AUS","southern"
"NRU","tropics"
"NCL","tropics"
"NFK","southern"
"PNG","tropics"
"SLB","tropics"
"TUV","tropics"
"VUT","tropics"
"KHM","tropics"
"LAO","tropics"
"MYS","tropics"
"MMR","tropics"
"SGP","tropics"
"THA","tropics"
"VNM","tropics"
"BGD","northern"
"BTN","northern"
"CHN","northern"
"BRN","tropics"
"PHL","tropics"
"KOR","northern"
"MNG","northern"
"PRK","northern"
"GUM","tropics"
"JPN","northern"
"MHL","tropics"
"FSM","tropics"
"MNP","tropics"
"PLW","tropics"
"RUS","northern"
"ESP","northern"
"IC","northern"
